Creare client - 27.05.2021 20:06:26 de catre threadul cu ID: 22 si numele AWT-EventQueue-0
Depunere bani - 27.05.2021 20:07:42 de catre threadul cu ID: 22 si numele AWT-EventQueue-0
Retragere bani - 27.05.2021 20:07:57 de catre threadul cu ID: 22 si numele AWT-EventQueue-0
Stergere din extrasul de cont - 27.05.2021 20:08:15 de catre threadul cu ID: 22 si numele AWT-EventQueue-0
